epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,3174.19,1.58594,1.11482,0.01104,0.85691,0.66549,0.71439,0.37252,2.06426,1.55742,0.02371,0.0011882,0.0011882,0.0011882
43,3313,1.55072,1.173,0.0104,0.83887,0.66667,0.71794,0.36899,1.94247,1.41538,0.02119,0.0011684,0.0011684,0.0011684
44,3403.87,1.45385,0.99471,0.01081,0.76121,0.70902,0.71601,0.36641,1.82793,1.43206,0.0193,0.0011486,0.0011486,0.0011486
45,3466.4,1.58806,1.0528,0.01116,0.77749,0.66667,0.67969,0.42545,1.68407,1.81304,0.0178,0.0011288,0.0011288,0.0011288
46,3529.04,1.42009,1.09826,0.00959,0.73568,0.66667,0.67157,0.40495,1.63602,1.9305,0.01821,0.001109,0.001109,0.001109
47,3591.94,1.58912,1.13532,0.0113,0.70424,0.61111,0.64461,0.38073,1.74766,2.11196,0.01975,0.0010892,0.0010892,0.0010892
48,3674.89,1.52964,1.12389,0.01076,0.89531,0.66667,0.74415,0.36975,2.01804,1.42732,0.02274,0.0010694,0.0010694,0.0010694
49,3767.95,1.49576,1.06743,0.01078,0.74473,0.66667,0.60838,0.31487,2.02442,1.46506,0.02146,0.0010496,0.0010496,0.0010496
50,3861.33,1.39682,0.95506,0.0097,0.74045,0.66667,0.63703,0.3514,2.00873,1.45387,0.02127,0.0010298,0.0010298,0.0010298
51,3954.87,1.37206,0.9558,0.00977,0.74729,0.65762,0.63605,0.3748,1.69731,1.93348,0.01832,0.00101,0.00101,0.00101
52,4054.01,1.4338,0.94149,0.01057,0.74286,0.72222,0.759,0.36927,2.05709,1.25917,0.02189,0.0009902,0.0009902,0.0009902
53,4155.4,1.39982,0.88923,0.01046,0.83472,0.66667,0.7726,0.37296,1.93499,1.81623,0.02184,0.0009704,0.0009704,0.0009704
54,4240.91,1.45107,0.84856,0.00959,0.92717,0.70804,0.78049,0.37653,1.85839,2.01124,0.02235,0.0009506,0.0009506,0.0009506
55,4304.63,1.4546,0.82175,0.01065,0.86404,0.70688,0.74637,0.37727,1.81321,1.95487,0.02079,0.0009308,0.0009308,0.0009308
56,4371.95,1.46864,0.90186,0.00996,0.9122,0.66667,0.71879,0.34971,1.77709,1.96427,0.01957,0.000911,0.000911,0.000911
57,4438.89,1.4306,0.91929,0.01091,0.90748,0.66667,0.70862,0.34154,1.70857,2.13944,0.02002,0.0008912,0.0008912,0.0008912
58,4531.7,1.41786,0.8534,0.00956,0.90653,0.66667,0.72918,0.32407,1.77503,2.17111,0.02194,0.0008714,0.0008714,0.0008714
59,4633.82,1.38848,0.85002,0.00898,0.74608,0.66667,0.66099,0.33046,1.68817,2.10178,0.01854,0.0008516,0.0008516,0.0008516
60,4714.84,1.44851,0.88592,0.01047,0.85391,0.72222,0.73208,0.3207,1.83325,1.96744,0.02075,0.0008318,0.0008318,0.0008318
61,4779.66,1.44334,0.86646,0.01067,0.85459,0.66667,0.68049,0.29275,2.24444,1.25437,0.02469,0.000812,0.000812,0.000812
62,4846.12,1.44376,0.8503,0.01029,0.86265,0.72222,0.69918,0.29526,2.07341,1.73695,0.02247,0.0007922,0.0007922,0.0007922
63,4912.46,1.3928,0.86289,0.00951,0.92718,0.70812,0.72071,0.32618,1.9068,1.88078,0.02095,0.0007724,0.0007724,0.0007724
64,5005.21,1.34258,0.96758,0.00977,0.86513,0.71323,0.66589,0.31003,1.92001,1.90416,0.02224,0.0007526,0.0007526,0.0007526
65,5068.65,1.42463,0.74828,0.01021,0.7487,0.66235,0.53053,0.28251,1.87069,1.91449,0.02072,0.0007328,0.0007328,0.0007328
66,5130.45,1.476,0.93018,0.00971,0.79918,0.66347,0.55637,0.3111,1.84138,1.81852,0.01959,0.000713,0.000713,0.000713
67,5192.29,1.43925,0.81953,0.00995,0.74186,0.66667,0.5707,0.3076,1.81887,1.84604,0.0193,0.0006932,0.0006932,0.0006932
68,5254.25,1.42817,0.74773,0.01005,0.81183,0.71925,0.70819,0.33193,1.77322,1.93306,0.01841,0.0006734,0.0006734,0.0006734
69,5319.83,1.3648,0.69791,0.00964,0.85604,0.66667,0.67944,0.32342,1.85518,1.82306,0.01966,0.0006536,0.0006536,0.0006536
70,5382.87,1.29669,0.7767,0.00916,0.76234,0.7133,0.70959,0.33783,1.83396,2.06089,0.02037,0.0006338,0.0006338,0.0006338
71,5446.12,1.37181,0.80054,0.00959,0.9087,0.66667,0.73711,0.36992,1.89809,2.05608,0.02106,0.000614,0.000614,0.000614
72,5508.35,1.26235,0.69358,0.00915,0.97838,0.66667,0.74988,0.34958,1.78666,2.10754,0.01957,0.0005942,0.0005942,0.0005942
73,5595.85,1.29988,0.7072,0.00943,0.95726,0.66667,0.74392,0.32521,1.78427,2.15707,0.02003,0.0005744,0.0005744,0.0005744
74,5689.97,1.37308,0.78039,0.01043,0.92601,0.72222,0.74988,0.35139,1.98537,1.87148,0.02185,0.0005546,0.0005546,0.0005546
75,5783.54,1.21685,0.75433,0.00855,0.85304,0.66667,0.67774,0.38668,1.89023,1.74417,0.01993,0.0005348,0.0005348,0.0005348
76,5877.67,1.23143,0.73218,0.00927,0.7558,0.72222,0.7213,0.34745,1.80052,1.79558,0.01881,0.000515,0.000515,0.000515
77,5938.3,1.30928,0.7521,0.00929,0.85996,0.68311,0.72046,0.33879,1.98804,1.67269,0.02141,0.0004952,0.0004952,0.0004952
78,6001.64,1.3397,0.76959,0.00937,0.91822,0.72222,0.71093,0.33283,1.93195,1.74035,0.02085,0.0004754,0.0004754,0.0004754
79,6065.8,1.19061,0.68744,0.00781,0.78319,0.60259,0.59458,0.32804,1.84741,1.80042,0.01923,0.0004556,0.0004556,0.0004556
80,6178.72,1.28339,0.77205,0.00871,0.8063,0.72222,0.68201,0.32542,1.80072,1.761,0.01825,0.0004358,0.0004358,0.0004358
81,6383.34,1.26348,0.72458,0.00854,0.86643,0.72084,0.69958,0.32468,1.7249,1.75294,0.01737,0.000416,0.000416,0.000416
82,6579.68,1.3393,0.69616,0.01046,0.90973,0.66667,0.71721,0.32395,1.83026,1.58135,0.01919,0.0003962,0.0003962,0.0003962
83,6746.69,1.2956,0.74773,0.00881,0.861,0.72222,0.726,0.33621,1.71726,1.85536,0.01756,0.0003764,0.0003764,0.0003764
84,6810.43,1.20074,0.67608,0.00815,0.86172,0.72222,0.73546,0.36155,1.85109,1.75856,0.02027,0.0003566,0.0003566,0.0003566
85,6872.9,1.24252,0.7144,0.0084,0.86557,0.7158,0.73446,0.35188,1.83923,1.885,0.02033,0.0003368,0.0003368,0.0003368
86,6934.86,1.20994,0.67586,0.00876,0.8664,0.72064,0.74882,0.35877,1.86029,1.84424,0.02003,0.000317,0.000317,0.000317
87,7009.04,1.25738,0.65895,0.00824,0.8583,0.72222,0.74882,0.34506,1.83709,1.72925,0.02002,0.0002972,0.0002972,0.0002972
88,7100.52,1.21725,0.68362,0.00867,0.91304,0.72222,0.75833,0.34786,1.80152,1.6355,0.01919,0.0002774,0.0002774,0.0002774
89,7192.62,1.25038,0.66982,0.00856,0.90932,0.72222,0.74619,0.33739,1.82348,1.64519,0.01935,0.0002576,0.0002576,0.0002576
90,7271.81,1.13642,0.6,0.00786,0.90719,0.72222,0.74619,0.32921,1.87292,1.64985,0.02007,0.0002378,0.0002378,0.0002378
91,7330.42,1.2011,0.65674,0.01032,1,0.7152,0.77598,0.35287,1.99066,1.59698,0.0211,0.000218,0.000218,0.000218
92,7397.47,1.15311,0.57838,0.01006,0.90643,0.72222,0.76577,0.35721,1.97903,1.671,0.02058,0.0001982,0.0001982,0.0001982
93,7457.96,1.17259,0.6844,0.01017,0.98569,0.66667,0.74005,0.33934,2.0359,1.61218,0.02161,0.0001784,0.0001784,0.0001784
94,7520.56,1.20576,0.61262,0.01068,0.98649,0.66667,0.74132,0.33712,2.06876,1.59006,0.02219,0.0001586,0.0001586,0.0001586
95,7595.14,1.11746,0.57446,0.0093,0.74157,0.66667,0.62669,0.3292,1.92429,1.77435,0.02019,0.0001388,0.0001388,0.0001388
96,7667.72,1.09199,0.57143,0.00926,0.78554,0.66667,0.63146,0.33503,1.87998,1.8373,0.01963,0.000119,0.000119,0.000119
97,7776.67,1.13737,0.57448,0.01023,0.78266,0.66667,0.61525,0.31932,1.88028,1.82039,0.01951,9.92e-05,9.92e-05,9.92e-05
98,7908.24,1.16925,0.53046,0.00975,0.78994,0.66667,0.61943,0.32365,1.86645,1.82134,0.01933,7.94e-05,7.94e-05,7.94e-05
99,7971.15,1.15408,0.64824,0.01001,0.77086,0.66667,0.61679,0.32557,1.88836,1.8235,0.01943,5.96e-05,5.96e-05,5.96e-05
100,8031.79,1.0801,0.53342,0.00972,0.7851,0.66667,0.62291,0.32767,1.96316,1.6212,0.02058,3.98e-05,3.98e-05,3.98e-05
